label,min,max,mean
apple,100.1173443,124.9831618,112.654779275
banana,90.10978128,119.84797,104.6269804001
blackgram,60.41790253,74.91559514,67.8841511832
chickpea,65.11365631,94.78189594,80.0589772605
coconut,131.09000759999998,213.84124050000003,174.697365743
coffee,115.1564012,199.4735636,158.066294882
cotton,60.65381719,99.93100821,80.3980431193
grapes,65.01095312,74.91506217,69.611828886
jute,150.2355238,199.83629130000003,174.792797536
kidneybeans,60.27552528,149.7441028,105.91977754210001
lentil,35.03484812,54.93937710000001,45.680454204
maize,60.65171481,109.7515385,84.766987663
mango,89.29147581,100.8124659,94.70451504479999
mothbeans,30.92014047,74.44330654,51.198487045700006
mungbean,36.12042927,59.87232071,48.403600902899996
muskmelon,20.21126747,29.86681385,24.689952066
orange,100.1737964,119.6946577,110.47496871999999
papaya,40.35153141,213.84124050000003,139.20510155990002
pigeonpeas,90.05422663,198.8298806,149.4575638135
pomegranate,102.5184759,112.4750941,107.52844239699999
rice,182.5616319,213.84124050000003,208.094939267
watermelon,40.12650421,59.75980023,50.7862189449
