DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NICOBAR,165.2,540.7,1207.2,892.1
SOUTH ANDAMAN,69.7,483.5,1757.2,705.3
N & M ANDAMAN,48.6,405.6,1884.4,574.7
LOHIT,123,841.3,1848.5,231
EAST SIANG,112.8,645.4,3008.4,268.1
SUBANSIRI F.D,76.3,327.3,788.4,108.4
TIRAP,114.9,786.6,2385.5,284.5
ANJAW (LOHIT),123,841.3,1848.5,231
LOWER DIBANG,237.6,955.1,1073.4,287.2
CHANGLANG,241.2,1256.5,1632.1,414.1
PAPUM PARE,101.3,786,2245.7,245.2
LOW SUBANSIRI,206.8,562.9,996.2,155.2
UPPER SIANG,251,1168.8,2558.8,423.5
WEST SIANG,92.7,545.5,1612.5,190
DIBANG VALLEY,237.6,955.1,1073.4,287.2
WEST KAMENG,78.7,534.3,2485.2,301.2
EAST KAMENG,123.4,461.4,1246.3,199.8
TAWANG(W KAME,78.7,534.3,2485.2,301.2
KURUNG KUMEY,152.7,645.3,1256.5,167
CACHAR,63.5,817.2,1889.9,228.6
DARRANG,34.5,542.3,1259.1,121.9
GOALPARA,33.1,647.5,1710.1,184.6
KAMRUP,32.8,503.7,1147.7,129.2
LAKHIMPUR,76.3,574.1,2025.2,183.7
NORTH CACHAR,64.2,674.8,988.8,249.7
NAGAON,34.5,348.3,1124.9,152.4
SIVASAGAR,53.3,461.9,1169.5,126.9
BARPETA,37.2,621.2,2441,175.2
DHUBRI,22,585.7,1916.5,178.4
DIBRUGARH,83.7,642.1,1651.4,179.4
JORHAT,58.9,562.1,1299.1,162.9
KARIMGANJ,48.4,1114.1,2147.9,340.4
KOKRAJHAR,38.8,723.3,2826.4,183.7
SHONITPUR,42.5,478.4,1314.4,143.2
GOLAGHAT,46.4,446.7,1049.6,138
TINSUKIA,85,619.8,1617.8,162.7
HAILAKANDI,49.3,779,1621.1,196.2
DHEMAJI(LAKHI,76.3,574.1,2025.2,183.7
KARBI ANGLONG,36.9,299.5,867,137.6
UDALGURI(DARA,34.5,542.3,1259.1,121.9
